BEDS,BATH,PROPERTYSQFT,LATITUDE,LONGITUDE,PROPERTY_TYPE_Co-op,PROPERTY_TYPE_Condo,PROPERTY_TYPE_Condop,PROPERTY_TYPE_House,PROPERTY_TYPE_Land,PROPERTY_TYPE_Multi-family home,PROPERTY_TYPE_Townhouse,PROPERTY_TYPE_Unknown,LISTING_STATUS_Coming Soon,LISTING_STATUS_Contingent,LISTING_STATUS_For Sale,LISTING_STATUS_Foreclosure,LISTING_STATUS_Pending
-0.1364722148101901,-0.20149529166707583,-0.4457345573393287,-0.8995507197150703,-1.9003565449343405,0,0,0,1,0,0,0,0,0,0,1,0,0
-0.1364722148101901,8.483335059174191e-05,0.4867172479626867,-0.2902200134281458,0.24683953501639508,0,0,0,0,0,0,0,1,0,0,0,0,1
-0.1364722148101901,-0.7406801801655817,0.2520720988350434,-1.545283640387222,-1.7041971599641443,0,0,0,0,0,0,0,1,0,1,0,0,0
-0.5189700278791175,-0.20149529166707583,-0.528911009455471,0.2692184549783914,-0.6385496799212187,1,0,0,0,0,0,0,0,0,0,1,0,0
-0.1364722148101901,-0.20149529166707583,-0.3573048556158512,-1.0270529781255535,-2.062871934297528,0,0,0,0,0,0,0,1,0,1,0,0,0
0.24602559825873724,0.8768744853299358,0.14525602348589234,0.48830990823211523,2.186163891115733,1,0,0,0,0,0,0,0,0,0,1,0,0
2.158514663603374,0.8768744853299358,0.007011446406886239,0.4532926665374759,0.7825031853240771,0,0,0,1,0,0,0,0,0,0,1,0,0
-0.5189700278791175,-0.20149529166707583,-0.5131512606334651,-1.9195275471175774,-2.513644409730139,0,0,0,0,0,0,1,0,0,0,1,0,0
-0.9014678409480448,-0.7406801801655817,0.007011446406886239,0.28156979952013217,-0.5333407376823948,1,0,0,0,0,0,0,0,0,0,1,0,0
-0.1364722148101901,-0.20149529166707583,0.007011446406886239,0.17496012335333774,0.7389757273012983,0,0,0,1,0,0,0,0,0,0,1,0,0
-0.1364722148101901,-0.20149529166707583,0.007011446406886239,0.5238369206854591,-0.22702374419748422,1,0,0,0,0,0,0,0,0,0,1,0,0
-0.9014678409480448,-0.7406801801655817,-0.6361648556052333,0.4093114783544278,-0.3682663082810073,1,0,0,0,0,0,0,0,0,0,1,0,0
2.541012476672301,3.0336140393239597,1.2571938570385306,-0.989887825930527,-2.14290856167491,0,0,0,0,0,1,0,0,0,0,1,0,0
-0.1364722148101901,8.483335059174191e-05,0.007011446406886239,0.606845929049629,0.1772560363427481,0,1,0,0,0,0,0,0,0,0,1,0,0
-0.1364722148101901,-0.20149529166707583,-0.18000768136828488,-1.5684077584468634,-0.15009699939065443,0,1,0,0,0,0,0,0,0,0,1,0,0
-0.9014678409480448,-0.7406801801655817,-0.6208428775838387,2.1857766562498098,0.34926553359793705,1,0,0,0,0,0,0,0,0,0,1,0,0
1.3935190374655193,1.9552442623269475,0.6850274206395942,1.3110753306787177,0.2887372520935502,0,0,0,0,0,1,0,0,0,0,1,0,0
-0.9014678409480448,-0.7406801801655817,0.007011446406886239,0.08418427061957756,-0.3654962440353932,1,0,0,0,0,0,0,0,0,0,1,0,0
-0.1364722148101901,-0.20149529166707583,0.05419969695874717,0.04223300105343064,-0.4764850699685197,0,1,0,0,0,0,0,0,0,0,1,0,0
-0.9014678409480448,-0.7406801801655817,-0.6317871475991206,0.7123375462038866,-0.06863868310330218,1,0,0,0,0,0,0,0,0,0,1,0,0
0.24602559825873724,-0.20149529166707583,-0.07450491842096764,1.5909234395120129,1.0735293449150534,0,0,0,0,0,1,0,0,0,0,1,0,0
0.6285234113276646,-0.20149529166707583,0.006920450492729489,-1.6987681697632906,-1.8928290241409993,0,0,0,1,0,0,0,0,0,0,1,0,0
-0.1364722148101901,-0.20149529166707583,-0.22072036582513344,-1.1464733652931116,0.001970214888681228,0,0,0,1,0,0,0,0,0,0,1,0,0
1.3935190374655193,3.0336140393239597,2.9469891473980514,0.2969866419280256,-0.45697177047564125,0,0,0,0,0,1,0,0,0,0,1,0,0
0.6285234113276646,0.33768959683143,0.007011446406886239,-0.24651032113235133,-0.2878829275109633,0,0,0,0,0,1,0,0,0,0,1,0,0
0.6285234113276646,1.4160593738284417,0.007011446406886239,-0.11902295490126777,0.4456362272190002,0,0,0,0,0,1,0,0,0,0,1,0,0
0.6285234113276646,0.33768959683143,-0.39188874886414193,-0.06185302346935657,2.0828670461565735,0,0,0,1,0,0,0,0,0,0,1,0,0
0.6285234113276646,0.33768959683143,-0.003586048721941108,-0.9203997709725965,-0.9146060001877273,0,0,0,1,0,0,0,0,0,0,1,0,0
-0.5189700278791175,-0.20149529166707583,-0.423846017308765,-1.09010761155252,-0.8965946382472914,1,0,0,0,0,0,0,0,0,0,1,0,0
-0.5189700278791175,-0.20149529166707583,0.007011446406886239,0.5636001854218159,-0.3542713413519841,0,1,0,0,0,0,0,0,0,0,1,0,0
-0.1364722148101901,-0.7406801801655817,-0.548172924682367,-0.08177074073391635,-0.6795666433808493,0,1,0,0,0,0,0,0,0,0,1,0,0
0.24602559825873724,0.33768959683143,0.007011446406886239,0.22622244174483203,1.6148648900031075,0,0,0,1,0,0,0,0,0,0,1,0,0
0.24602559825873724,0.8768744853299358,0.007011446406886239,0.0019175801244056784,-0.16775070997460115,0,0,0,0,0,0,0,1,0,0,0,0,1
-0.1364722148101901,-0.20149529166707583,0.6268039041582947,0.7057632217441565,1.2811514063237512,0,0,0,1,0,0,0,0,0,0,1,0,0
-0.5189700278791175,-0.7406801801655817,-0.5332887174615837,0.6608587184339413,1.1054752396218541,1,0,0,0,0,0,0,0,0,0,1,0,0
-0.1364722148101901,-0.20149529166707583,0.007011446406886239,-0.4019331249440375,1.285126190927977,0,0,0,1,0,0,0,0,0,0,1,0,0
0.24602559825873724,0.33768959683143,-0.005774902724997482,-0.36426622085610594,-0.38939746003176173,0,1,0,0,0,0,0,0,0,0,1,0,0
-0.1364722148101901,-0.7406801801655817,-0.7539252009696662,0.6099114269158631,-0.19581792030321815,0,1,0,0,0,0,0,0,0,0,1,0,0
-0.5189700278791175,-0.7406801801655817,0.007011446406886239,-0.10096905117492101,1.1660243263298344,1,0,0,0,0,0,0,0,0,0,1,0,0
0.24602559825873724,-0.20149529166707583,-0.003586048721941108,0.7013677376960556,-0.07673785163258934,0,0,0,0,0,0,1,0,0,0,1,0,0
-0.9014678409480448,-0.7406801801655817,-0.6427314176144024,0.2067297243712122,0.8113986408990637,1,0,0,0,0,0,0,0,0,0,1,0,0
-0.9014678409480448,-0.7406801801655817,-0.6462335840192927,1.1776734780936984,-0.0544188218309948,0,1,0,0,0,0,0,0,0,0,1,0,0
-0.1364722148101901,8.483335059174191e-05,0.007011446406886239,-1.849419748383337,-2.003727694191887,0,0,0,1,0,0,0,0,0,0,1,0,0
-0.1364722148101901,8.483335059174191e-05,0.007011446406886239,2.16288852195714,0.396220896588411,0,0,0,0,1,0,0,0,0,0,1,0,0
0.6285234113276646,8.483335059174191e-05,-0.31440331715594627,0.6199476103261671,1.1616968439890025,0,0,0,1,0,0,0,0,0,0,1,0,0
-0.1364722148101901,8.483335059174191e-05,-0.35818039721707373,-0.3896928989721823,1.179893471313517,0,0,0,1,0,0,0,0,0,0,1,0,0
-0.1364722148101901,-0.7406801801655817,-0.7083970377060936,0.9131081820531312,-0.2351684860299212,0,1,0,0,0,0,0,0,0,0,1,0,0
-0.9014678409480448,-0.7406801801655817,-0.6536756876296843,0.4296530499577287,0.5984068555235666,1,0,0,0,0,0,0,0,0,0,1,0,0
0.24602559825873724,0.8768744853299358,0.45869991672356514,0.0013104374230163472,-0.7019986157161164,0,1,0,0,0,0,0,0,0,0,1,0,0
-0.9014678409480448,-0.7406801801655817,-0.6374781680070671,0.38310467914451085,0.3930208581359017,0,1,0,0,0,0,0,0,0,0,1,0,0
1.011021224396592,0.8768744853299358,0.007011446406886239,0.7953648834042969,1.257168950961131,0,0,0,0,0,1,0,0,0,0,1,0,0
-0.1364722148101901,-0.20149529166707583,0.007011446406886239,0.46618814840600414,0.8142667868187011,0,0,0,1,0,0,0,0,0,0,1,0,0
0.6285234113276646,0.8768744853299358,0.007011446406886239,-0.20443647747359742,0.8266954191368014,0,0,0,0,0,0,0,1,0,0,0,0,1
-0.9014678409480448,-0.7406801801655817,-0.7136502873134289,-1.356218257601206,-0.5446815550713782,0,1,0,0,0,0,0,0,0,0,1,0,0
0.6285234113276646,0.8768744853299358,0.007011446406886239,0.9109969292252249,0.9513413751219943,0,0,0,0,0,1,0,0,0,0,1,0,0
-0.5189700278791175,-0.7406801801655817,-0.5980787959520524,1.455567274759696,0.864627268125436,0,1,0,0,0,0,0,0,0,0,1,0,0
-0.5189700278791175,-0.7406801801655817,0.007011446406886239,0.9898911138466272,-0.2275755774538979,1,0,0,0,0,0,0,0,0,0,1,0,0
-0.1364722148101901,0.33768959683143,-0.20977609580985157,0.6607040688778932,-0.4728748717885069,0,1,0,0,0,0,0,0,0,0,1,0,0
-0.9014678409480448,-0.7406801801655817,0.007011446406886239,1.2851457551174559,0.1605128010956246,1,0,0,0,0,0,0,0,0,0,1,0,0
0.24602559825873724,-0.20149529166707583,-0.14060830931327015,1.1026879178069726,-0.1265474904069717,0,1,0,0,0,0,0,0,0,0,1,0,0
-0.1364722148101901,0.33768959683143,0.26870738925827187,-0.37510199974868974,-0.6731913345752463,0,1,0,0,0,0,0,0,0,0,1,0,0
-0.1364722148101901,-0.7406801801655817,0.007011446406886239,-0.6113446615423941,-0.04946718338334337,0,0,0,1,0,0,0,0,0,0,1,0,0
-0.1364722148101901,-0.7406801801655817,0.007011446406886239,0.5217050479167519,0.3610650561893347,1,0,0,0,0,0,0,0,0,0,1,0,0
-0.1364722148101901,8.483335059174191e-05,0.007011446406886239,-1.3743741154792775,-0.3212584369196599,0,0,0,0,0,0,0,1,0,0,0,0,1
-0.5189700278791175,-0.7406801801655817,-0.5293487802560822,0.8694878428340594,-0.06797985165716006,0,1,0,0,0,0,0,0,0,0,1,0,0
1.011021224396592,0.33768959683143,0.007011446406886239,0.6305920819901406,1.6506874876402515,0,0,0,0,0,1,0,0,0,0,1,0,0
-0.9014678409480448,-0.7406801801655817,0.007011446406886239,0.3444686378387704,0.4218479537563043,1,0,0,0,0,0,0,0,0,0,1,0,0
-0.5189700278791175,-0.20149529166707583,-0.4982670534126817,-0.5532811993423591,-0.49885958031303024,0,1,0,0,0,0,0,0,0,0,1,0,0
-0.5189700278791175,-0.7406801801655817,-0.5770657975227111,1.0356880023727675,0.0033413768757592803,1,0,0,0,0,0,0,0,0,0,1,0,0
-0.9014678409480448,-0.7406801801655817,0.007011446406886239,1.2851457551174559,0.1605128010956246,1,0,0,0,0,0,0,0,0,0,1,0,0
-0.5189700278791175,-0.20149529166707583,-0.46762309736989244,0.35480495594300954,-0.5211122316080222,0,0,0,0,0,0,0,1,0,0,0,0,1
-0.1364722148101901,-0.20149529166707583,-0.423846017308765,0.2192746672460424,0.824677314391329,1,0,0,0,0,0,0,0,0,0,1,0,0
0.6285234113276646,0.8768744853299358,0.007011446406886239,-1.4238230246323216,0.041780476541718806,0,0,0,0,0,1,0,0,0,0,1,0,0
-0.5189700278791175,0.33768959683143,0.007011446406886239,0.638600637888104,-0.26762658503393005,1,0,0,0,0,0,0,0,0,0,1,0,0
-0.1364722148101901,-0.20149529166707583,-0.2995191099351629,-0.9455664087241407,-1.9202136256478382,0,0,0,1,0,0,0,0,0,0,1,0,0
-0.5189700278791175,-0.7406801801655817,-0.6624311036419098,0.3313050967398294,0.6847137749648048,0,1,0,0,0,0,0,0,0,0,1,0,0
-0.5189700278791175,-0.20149529166707583,0.007011446406886239,0.5944098136401238,-0.3487460737204052,0,1,0,0,0,0,0,0,0,0,1,0,0
-0.1364722148101901,8.483335059174191e-05,0.007011446406886239,1.6572096758839832,0.4950109381666043,0,0,0,0,0,1,0,0,0,0,1,0,0
-0.9014678409480448,-0.7406801801655817,-0.5332887174615837,-0.8675439893778625,-1.3087457208017659,1,0,0,0,0,0,0,0,0,0,1,0,0
-0.5189700278791175,-0.20149529166707583,-0.3170299419596139,-1.4388022660742734,-1.6531719028674638,0,0,0,1,0,0,0,0,0,0,1,0,0
-0.9014678409480448,-0.7406801801655817,0.007011446406886239,0.06249667510264874,0.9564376592705984,1,0,0,0,0,0,0,0,0,0,1,0,0
0.6285234113276646,1.9552442623269475,0.6710187550200335,-0.23980425816193482,-0.5846998687600692,0,1,0,0,0,0,0,0,0,0,1,0,0
-0.5189700278791175,-0.7406801801655817,-0.46762309736989244,-1.518115722825377,-0.12186731032953377,1,0,0,0,0,0,0,0,0,0,1,0,0
0.24602559825873724,0.33768959683143,-0.12090862328576277,-0.9094333991216065,0.3728239590974657,0,0,0,0,0,1,0,0,0,0,1,0,0
-0.5189700278791175,-0.7406801801655817,-0.46762309736989244,-1.5584128149181615,-0.3067750430689238,1,0,0,0,0,0,0,0,0,0,1,0,0
-0.1364722148101901,-0.7406801801655817,0.007011446406886239,0.13616370473022918,-0.5933786108170873,1,0,0,0,0,0,0,0,0,0,1,0,0
-0.5189700278791175,-0.7406801801655817,0.007011446406886239,0.7735879348105639,-0.4025691353341578,1,0,0,0,0,0,0,0,0,0,1,0,0
-0.9014678409480448,-0.7406801801655817,0.007011446406886239,0.5135555890900225,0.657484717122605,1,0,0,0,0,0,0,0,0,0,1,0,0
0.6285234113276646,8.483335059174191e-05,1.3714520359980733,-1.2224211894840458,-1.537820919254324,0,0,0,1,0,0,0,0,0,0,1,0,0
2.541012476672301,4.111983816320971,1.9103478915505525,0.2834977639853087,-0.5281869915428933,0,0,0,0,0,0,1,0,0,0,1,0,0
-0.1364722148101901,0.33768959683143,0.36414142379152975,0.7561469015470078,-0.45110866596724636,0,0,0,0,0,0,0,1,0,0,1,0,0
-0.5189700278791175,-0.7406801801655817,-0.5442329874768655,0.10773567967480081,0.8346598492049022,1,0,0,0,0,0,0,0,0,0,1,0,0
1.011021224396592,-0.20149529166707583,-0.3030212763400531,-0.46124065690597593,0.7368872811532605,0,0,0,0,0,0,0,1,0,1,0,0,0
1.011021224396592,0.8768744853299358,0.007011446406886239,1.987676302734821,1.087037866370345,0,0,0,0,0,1,0,0,0,0,1,0,0
-0.9014678409480448,-0.20149529166707583,-0.4855717001949547,-1.7607883694932858,-2.4131225826364764,0,0,0,0,0,0,1,0,0,0,1,0,0
0.24602559825873724,-0.20149529166707583,0.007011446406886239,-0.978881359750134,0.08341168886840279,0,0,0,1,0,0,0,0,0,0,1,0,0
-0.1364722148101901,0.33768959683143,-0.4080862684867591,0.6151213986257248,1.0937143552657418,0,1,0,0,0,0,0,0,0,0,1,0,0
-0.5189700278791175,-0.7406801801655817,-0.47637851338211795,-1.1169834132863106,-0.9503503306303803,0,1,0,0,0,0,0,0,0,0,1,0,0
-0.1364722148101901,-0.20149529166707583,-0.3516138352079046,-0.8629159582195494,-2.2069846257485293,0,0,0,0,0,0,1,0,0,0,1,0,0
2.158514663603374,0.33768959683143,0.007011446406886239,-0.5390683323668845,0.4721697968278947,0,0,0,0,0,0,0,1,0,0,0,0,1
-0.1364722148101901,-0.7406801801655817,0.007011446406886239,-0.27364158102163433,0.9255538206694379,0,0,0,1,0,0,0,0,0,0,1,0,0
-0.1364722148101901,-0.7406801801655817,-0.7302855777366574,0.09705798699502453,0.9164054754461783,1,0,0,0,0,0,0,0,0,0,1,0,0
0.24602559825873724,-0.20149529166707583,0.007011446406886239,-0.41994922544554175,0.7855882997950732,0,0,0,1,0,0,0,0,0,0,1,0,0
0.24602559825873724,-0.20149529166707583,-0.051740836789181344,-0.02758268185275507,0.919255788334124,0,0,0,1,0,0,0,0,0,0,1,0,0
-0.9014678409480448,-0.7406801801655817,-0.51140017743102,-1.0272500131154838,-0.7907922523448667,1,0,0,0,0,0,0,0,0,0,1,0,0
-0.5189700278791175,-0.20149529166707583,-0.46762309736989244,-1.162865072680134,-0.9287386777498386,0,0,0,0,0,0,0,1,0,0,0,0,1
0.24602559825873724,0.33768959683143,0.007011446406886239,2.1954771928459778,0.3163289149119815,0,0,0,0,0,0,0,1,0,0,0,0,1
-0.5189700278791175,-0.20149529166707583,-0.6208428775838387,0.4676200887395955,1.1875616749119888,0,1,0,0,0,0,0,0,0,0,1,0,0
0.24602559825873724,0.8768744853299358,1.0645747047695695,-0.38768703695284157,-0.5582435756216045,0,0,0,0,0,0,1,0,0,0,1,0,0
-0.5189700278791175,-0.7406801801655817,0.007011446406886239,0.4135889705190428,0.5015021616777816,1,0,0,0,0,0,0,0,0,0,1,0,0
0.24602559825873724,0.8768744853299358,0.10147894342476486,-2.2566108838620274,-2.929281849967126,0,0,0,0,0,1,0,0,0,0,1,0,0
-0.1364722148101901,-0.20149529166707583,0.08484365300153641,-1.9963872309130386,-2.3699270171467104,0,0,0,1,0,0,0,0,0,0,1,0,0
0.24602559825873724,-0.20149529166707583,0.007011446406886239,-0.1993800097675035,0.13414369166735596,0,0,0,0,0,0,1,0,0,0,1,0,0
-0.1364722148101901,0.33768959683143,-0.1414838509144927,0.1774505539815422,-0.5744874859831879,0,0,0,0,0,1,0,0,0,0,1,0,0
0.6285234113276646,8.483335059174191e-05,0.007011446406886239,0.651843222093408,-0.2245399991818737,1,0,0,0,0,0,0,0,0,0,1,0,0
